title,cleaned_description,cluster,topic
"Sambit Patra News | Congress After Sambit Patra's Lord Jagannath Gaffe: ""Insulted Hindu Deities""","The Congress has hit out at BJP leader sambit patra, who found himself in the eye of a political storm after calling Lord Jagannath a devotee of Prime Minister Narendra Modi. The BJP leader claimed it was a ""slip of tongue"", but the comment on Lord Jagannath, a revered deity, has ignited a fierce backlash from the BJP's political rivals, especially Odisha Chief Minister Naveen Patnaik's Biju Janata Dal (BJD). Sambit Patra has now announced a period of ""upvaas"" (fasting) to atone for the flub.        ",43,bjp jagannath lord patra sambit
Mallikarjun Kharge Latest News | M Kharge: Congress Chief Predicts Lok Sabha Election Results,"Mallikarjun Kharge Exclusive: Mallikarjun Kharge speaks with NDTV's Manoranjan Bharati on various issues ranging from PM's comment on Ayodhya Ram Mandir, leadership qualities of Priyanka Gandhi Vadra, and who is the face of INDIA bloc. Listen in to the exclusive interview.           ",44,exclusive kharge mallikarjun manoranjan ndtv
"Prashant Kishor Latest Interview | Prashant Kishor: Ace Poll Strategist On Brand Modi, Mission 400+","Prashant Kishor NDTV Exclusive: There is neither widespread anger against the incumbent BJP nor a clamour for a challenger, political strategist Prashant Kishor told NDTV today, predicting that Prime Minister Narendra Modi is likely to lead the BJP to another victory in the ongoing Lok Sabha election. Mr Kishor, who now leads Jan Suraaj, said the BJP's tally in this election may hover around its 2019 score of 303 or better than it.  ""I think Modi-led BJP is returning. They may get the same numbers as last election or do slightly better,"" he told NDTV's editor-in-chief Sanjay Pugalia.              ",45,bjp kishor modi ndtv prashant
Lok Sabha Elections 2024: A Model Booth Managed By Persons with Disabilities in Hooghly,"A polling station in the Hooghly Parliamentary seat has sent out a strong message of inclusion as it is managed by persons with disabilities. Located in Sahaganj in Bandel, this polling station is also disabled-friendly, with wheelchair and ramp facilities available to voters. Inclusivity is at the heart of plans and policies across sectors, ensuring that everyone has the opportunity to participate fully in the democratic process. This initiative, supported by Samarth by Hyundai in partnership with NDTV, exemplifies the commitment to accessibility and empowerment within the democratic process.       ",46,democratic disabilities managed persons station
"Lok Sabha Elections 2024 | Milind Deora To NDTV: ""First Time In 45 Years A Deora Not Contesting..""","Shiv Sena leader Milind Deora, speaking exclusively with NDTV, said that this is the first time in 43 years that a Deora Family member is not contesting from Mumbai South. The Mumbai South constituency, a Congress stronghold under both Milind Deora and his father Murli Deora,  will see a direct fight between Shiv Sena's Yamini Jadhav and Shiv Sena (UBT) candidate Arvind Sawant.                       ",47,deora milind mumbai sena shiv
Iran President News | Iran President Ebrahim Raisi Dies In Chopper Crash,"Iran President Ebrahim Raisi was killed in a helicopter crash in East Azerbaijan province on Sunday, Iranian media said. The chopper carrying Iran President Raisi and his foreign minister Hossein Amir-Abdollahian had disappeared over a mountainous region and lost contact roughly 30 minutes into the flight. NDTV's Dishha Bagchi reports the details.           ",48,chopper ebrahim iran president raisi
"Mumbai Voting | Piyush Goyal To NDTV: ""Delighted To See Mumbai Voters' Response""","Union Minister Piyush Goyal said the people of Mumbai are voting for a better future of the country. ""I'm delighted to see the response. I am confident that Mumbai will witness record turnout in Phase 5 of Lok Sabha elections,"" Mr Goyal said.                   ",49,delighted goyal mumbai response said
Celebrity Voting Today | Actor Janhvi Kapoor Casts Vote At A Polling Station In Mumbai,"Lok Sabha Elections 2024: Actor Janhvi Kapoor Casts Vote At A Polling Station In Mumbai.  A total of 49 constituencies across eight states are going to polls in the fifth phase of Lok Sabha polls today. In the fray this time are 695 candidates, including several political heavyweights from both the ruling BJP and the Opposition.                    ",50,janhvi kapoor polling polls vote
"PM Modi On Share Markets | PM Modi Exclusive: ""On June 4, The Stock Market Programmers Will...""",PM Modi On Markets: Where is the stock market headed on June 4th? PM Modi answers this in an exclusive conversation with NDTV's Sanjay Pugalia on the big 2024 elections.  Watch the full interview here: https://youtu.be/pj6G3m_hIlI                            ,51,exclusive market modi pm stock
"PM Modi NDTV Interview | PM Modi Exclusive: ""Biggest Focus Has Been On Governance""","PM Modi Latest Interview: ""If you want to achieve big then think big,"" Prime Minister Narendra Modi has told NDTV, outlining how thinking ahead at this point of time might benefit India a thousand years from now. ""This is Bharat's time, which should not be squandered,"" he added, while outlining how the blueprint for India 100 years after Independence can lay the foundation for the country.  Watch the full interview here: https://youtu.be/pj6G3m_hIlI                                 ",52,india interview modi pm time
NDTV Exclusive: PM Modi In Conversation With NDTV's Sanjay Pugalia On The Big 2024 Elections,PM Modi in conversation with NDTV's Sanjay Pugalia on the big 2024 elections.  Watch the full interview here: https://youtu.be/pj6G3m_hIlI                            ,53,2024 big conversation elections ndtv
"AAP Protest In Delhi | Arvind Kejriwal Claims BJP Trying To ""Finish"" AAP: ""Operation Jhaadu""","Delhi Chief Minister Arvind Kejriwal, accompanied by senior leaders of the Aam Aadmi Party (AAP), ahead of a planned march to the BJP headquarters today declared that Prime Minister Narendra Modi can send anyone he wishes to jail.           ",54,aap arvind bjp kejriwal minister
Swati Maliwal Case | Arvind Kejriwal Aide Sent To Police Custody For 5 Days In Swati Maliwal Case,"In a late-night hearing on Saturday, a Delhi court has sent Bibhav Kumar, the personal assistant to Delhi Chief Minister and AAP chief Arvind Kejriwal, to police custody for five days. Mr Kumar was arrested earlier in the day for allegedly assaulting AAP leader and Rajya Sabha MP Swati Maliwal at the chief minister's residence on Monday. Ms Maliwal had alleged Mr Kumar had kicked her in the chest, stomach and pelvic area and had brutally ""dragged her and pulled her shirt up"".            ",55,chief kumar maliwal sent swati
Kyrgyzstan Violence | Explained: What Led To Attack On Kyrgyzstan Hostels,"India and Pakistan have issued advisories for students in Kyrgyzstan urging them to stay indoors amid mob violence against foreign students. ""From the moment information about the incident was received, law enforcement agencies of the Kyrgyz Republic took prompt measures to detain persons involved in the event, both foreign citizens and citizens of the Kyrgyz Republic,"" the Indian consulate said in a post on X (formerly Twitter).          ",56,foreign kyrgyz kyrgyzstan republic students
"Kashmir Election News | In Baramulla, Voters To Decide Fate Of Omar Abdullah, Sajjad Lone","Battle For Baramulla: Kashmir's Baramulla constituency is set to decide the fate of former Kashmir chief minister Omar Abdullah and J&K People's Conference leader Sajjad Lone in the Lok Sabha polls. But a third independent candidate, Engineer Rashid, has gained significant support on the ground, posing a challenge to the two leaders.         ",57,abdullah baramulla fate kashmir omar
"Lok Sabha Elections 2024 | In Lucknow, Rajnath Singh Leads BJP Battle Against Samajwadi Party","Lucknow News: The Bharatiya Janata Party (BJP) has been fielding stalwarts from the Lucknow seat for the last three decades. In the upcoming battle for the 'City of Nawabs', BJP's Rajnath Singh will contest against with Samjawadi Party's Ravidas Mehrotra. The constituency has previously been represented by former PM Atal Bihari Vajpayee.          ",58,battle bjp lucknow party singh
"Swati Maliwal Case | AAP Says Arvind Kejriwal Home Video Exposes Swati Maliwal ""Lie"", She Snaps","The Aam Aadmi Party and Swati Maliwal traded bitter barbs Friday evening as each pushed back against the other over the latter's claims - that she was ""slapped seven times (and) kicked in the stomach"" by Arvind Kejriwal's aide, Bibhav Kumar, while inside the Chief Minister's home. AAP leader Atishi began the exchange with a sharp attack at a press conference, in which she accused Ms Maliwal of colluding with the Bharatiya Janata Party to discredit the AAP during the general election.               ",59,aap home kejriwal maliwal swati
"Andhra Poll Violence | Central Forces To Remain In Andhra Even After June 4, Directs EC",The Election Commission (EC) on Thursday directed the Union home ministry to retain 25 companies of central forces in Andhra Pradesh even after counting of votes on June 4 following post-poll violence in the state as it conveyed its displeasure to the state chief secretary and the police chief over the incidents.         ,60,andhra central chief june violence
"Indian Defence Update | Defending India, With Vishnu Som | Episode 02","Indian Defence News | NDTV's Vishnu Som, in his new weekly show ""Defending India"", discusses the landmark Indian drone breaking records, China's mystery frigate, China's first super carrier, massive Russian assault in North Ukraine, Ukraine strikes deep behind Russian lines.        ",61,china indian som ukraine vishnu
"Arvind Kejriwal | In A First, AAP Named As Accused By Probe Agency In Delhi Liquor Policy Case","Delhi Liquor Policy Case | Opening a new chapter in the country's jurisprudence, the Enforcement Directorate has, for the first time, named a political party as an accused in a case.  In a supplementary chargesheet filed in the Rouse Avenue court in the alleged liquor policy scam, the Enforcement Directorate has named the Aam Aadmi Party - a national political party - and its national convenor, Arvind Kejriwal, who is out on interim bail in the case. The agency is probing the money laundering angle of the alleged scam.         ",62,case liquor named party policy
